Entry	Entry Name	Protein names	Gene Names	Organism	Length	Domain [FT]
A0A2N5SB67	A0A2N5SB67_9BASI	ELMO domain-containing protein	PCANC_23666 PCANC_23810	Puccinia coronata f. sp. avenae	1034	DOMAIN 481..654; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2N5VMM9	A0A2N5VMM9_9BASI	ELMO domain-containing protein	PCASD_01072	Puccinia coronata f. sp. avenae	990	DOMAIN 437..610; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2N6NFR8	A0A2N6NFR8_BEABA	Engulfment and cell motility protein 2	ELMO2 BM221_008295	Beauveria bassiana (White muscardine disease fungus) (Tritirachium shiotae)	721	DOMAIN 254..439; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2N8UIH5	A0A2N8UIH5_9BASI	Related to engulfment and cell motility gene 1 protein	SRS1_15377	Sporisorium reilianum f. sp. reilianum	815	DOMAIN 369..544; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2P2HNZ6	A0A2P2HNZ6_ASPFA	ELMO/CED-12 family protein	AFLA70_284g001310	Aspergillus flavus (strain ATCC MYA-384 / AF70)	698	DOMAIN 239..420; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2P2I5K5	A0A2P2I5K5_9CRUS	Adapter molecule Crk-like		Hirondellea gigas	285	DOMAIN 13..105; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 109..169; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 213..274; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2P4SF63	A0A2P4SF63_BAMTH	ELMO domain-containing protein	CIB84_013497	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	588	DOMAIN 273..446; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2P4T5F9	A0A2P4T5F9_BAMTH	Adapter molecule crk	CIB84_004639	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	329	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2P4T5T5	A0A2P4T5T5_BAMTH	CRK like proto-oncogene, adaptor protein	CIB84_004513	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	303	DOMAIN 15..103; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 124..184; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2P4XZE9	A0A2P4XZE9_9STRA	Pleckstrin-like protein	PHPALM_12569	Phytophthora palmivora var. palmivora	838	DOMAIN 253..357; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"; DOMAIN 632..789; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2P4ZBT1	A0A2P4ZBT1_9HYPO	ELMO domain-containing protein	TGAM01_v209349	Trichoderma gamsii	709	DOMAIN 256..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2P5HLW7	A0A2P5HLW7_9PEZI	ELMO/CED-12 family protein	DHEL01_v210344	Diaporthe helianthi	737	DOMAIN 263..449; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2P7ZD83	A0A2P7ZD83_9PEZI	Engulfment and cell motility protein 2	B9Z65_5153	Elsinoe australis	750	DOMAIN 247..432; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2P8Y6L4	A0A2P8Y6L4_BLAGE	RRM domain-containing protein	C0J52_07938	Blattella germanica (German cockroach) (Blatta germanica)	1007	DOMAIN 31..107; /note="RRM"; /evidence="ECO:0000259|PROSITE:PS50102"
A0A2P8Y829	A0A2P8Y829_BLAGE	Adapter molecule Crk	Crk C0J52_09259	Blattella germanica (German cockroach) (Blatta germanica)	229	DOMAIN 13..105; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 159..220; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2P8ZDM6	A0A2P8ZDM6_BLAGE	Engulfment and cell motility protein 1	ELMO1 C0J52_07374	Blattella germanica (German cockroach) (Blatta germanica)	653	DOMAIN 321..502; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2R5LMG8	A0A2R5LMG8_9ACAR	Putative crk family adapter		Ornithodoros turicata	289	DOMAIN 13..105; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 107..168; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 220..281; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2R6NTT8	A0A2R6NTT8_9APHY	ELMO domain-containing protein	PHLCEN_2v8389	Hermanssonia centrifuga	700	DOMAIN 272..428; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2R8RS12	A0A2R8RS12_DANRE	Engulfment and cell motility 1 (ced-12 homolog, C. elegans)	elmo1 SO:0001217	Danio rerio (Zebrafish) (Brachydanio rerio)	728	DOMAIN 321..493; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2R8ZJE4	A0A2R8ZJE4_PANPA	CRK like proto-oncogene, adaptor protein		Pan paniscus (Pygmy chimpanzee) (Bonobo)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2R9A3F4	A0A2R9A3F4_PANPA	Engulfment and cell motility 2	ELMO2	Pan paniscus (Pygmy chimpanzee) (Bonobo)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2R9A9X4	A0A2R9A9X4_PANPA	CRK proto-oncogene, adaptor protein	CRK	Pan paniscus (Pygmy chimpanzee) (Bonobo)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2R9ABS4	A0A2R9ABS4_PANPA	Engulfment and cell motility 3	ELMO3	Pan paniscus (Pygmy chimpanzee) (Bonobo)	608	DOMAIN 194..366; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2R9ADT4	A0A2R9ADT4_PANPA	CRK proto-oncogene, adaptor protein	CRK	Pan paniscus (Pygmy chimpanzee) (Bonobo)	223	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"
A0A2S2NQB3	A0A2S2NQB3_SCHGA	Engulfment and cell motility protein 1	ELMO1 g.84385	Schizaphis graminum (Green bug aphid)	733	DOMAIN 324..495; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S2PN28	A0A2S2PN28_SCHGA	Adapter molecule Crk	Crk g.82712	Schizaphis graminum (Green bug aphid)	267	DOMAIN 14..106; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 108..168; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 195..258; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2S2R4K8	A0A2S2R4K8_9HEMI	Engulfment and Cell motility protein 1	ELMO1 LOC112691540 g.98196	Sipha flava (yellow sugarcane aphid)	735	DOMAIN 324..495; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S4KPI1	A0A2S4KPI1_9HYPO	Engulfment and cell motility protein 3	TPAR_07721	Tolypocladium paradoxum	706	DOMAIN 259..440; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S4PVF2	A0A2S4PVF2_9PEZI	ELMO domain-containing protein	EPUL_002761	Erysiphe pulchra	724	DOMAIN 257..445; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S4UDX8	A0A2S4UDX8_9BASI	ELMO domain-containing protein	PSHT_15664	Puccinia striiformis	1003	DOMAIN 406..579; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S4VYC6	A0A2S4VYC6_9BASI	ELMO domain-containing protein	PSTT_02915	Puccinia striiformis	973	DOMAIN 406..579; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S5B9C8	A0A2S5B9C8_9BASI	ELMO domain-containing protein	BMF94_3656	Rhodotorula taiwanensis	785	DOMAIN 369..519; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S6BQ14	A0A2S6BQ14_9PEZI	ELMO domain-containing protein	CBER1_01933	Cercospora berteroae	702	DOMAIN 246..425; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"; DOMAIN 662..702; /note="AGC-kinase C-terminal"; /evidence="ECO:0000259|PROSITE:PS51285"
A0A2S7PBB1	A0A2S7PBB1_9HELO	ELMO CED-12 family protein	CJF32_00004770	Rutstroemia sp. NJR-2017a WRK4	711	DOMAIN 258..455; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S7PEQ8	A0A2S7PEQ8_9HELO	ELMO CED-12 family protein	CJF30_00002665	Rutstroemia sp. NJR-2017a BBW	548	DOMAIN 95..265; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S7PW10	A0A2S7PW10_9HELO	ELMO CED-12 family protein	CJF31_00001945 CJF31_00003153	Rutstroemia sp. NJR-2017a BVV2	729	DOMAIN 258..446; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2S7Y553	A0A2S7Y553_BEABA	ELMO domain-containing protein	BB8028_0002g15990	Beauveria bassiana (White muscardine disease fungus) (Tritirachium shiotae)	715	DOMAIN 254..439; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T0AJC9	A0A2T0AJC9_RHOTO	ELMO/CED-12 family-domain containing protein	AAT19DRAFT_9199	Rhodosporidium toruloides (Yeast) (Rhodotorula gracilis)	790	DOMAIN 351..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T2N728	A0A2T2N728_CORCC	ELMO domain-containing protein	BS50DRAFT_505775	Corynespora cassiicola Philippines	719	DOMAIN 242..416; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T3ADK4	A0A2T3ADK4_9PEZI	ELMO/CED-12 family-domain-containing protein	BD289DRAFT_428730	Coniella lustricola	744	DOMAIN 260..444; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T3B7Y5	A0A2T3B7Y5_AMORE	ELMO domain-containing protein	M430DRAFT_33618	Amorphotheca resinae ATCC 22711	735	DOMAIN 258..459; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T3ZQ24	A0A2T3ZQ24_9HYPO	ELMO domain-containing protein	M441DRAFT_53587	Trichoderma asperellum CBS 433.97	707	DOMAIN 256..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T4APP9	A0A2T4APP9_TRIHA	ELMO domain-containing protein	M431DRAFT_1704	Trichoderma harzianum CBS 226.95	707	DOMAIN 257..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T4B7N7	A0A2T4B7N7_9HYPO	ELMO domain-containing protein	BBK36DRAFT_1135737	Trichoderma citrinoviride	709	DOMAIN 261..446; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T4CJ47	A0A2T4CJ47_TRILO	ELMO domain-containing protein	M440DRAFT_1367779	Trichoderma longibrachiatum ATCC 18648	709	DOMAIN 261..446; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T4H055	A0A2T4H055_FUSCU	Engulfment and cell motility protein 2	FCULG_00008510 HYE67_007429	Fusarium culmorum	716	DOMAIN 259..445; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T5M5G2	A0A2T5M5G2_9EURO	ELMO domain-containing protein	P175DRAFT_0448037	Aspergillus ochraceoroseus IBT 24754	691	DOMAIN 240..417; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T6ZKU5	A0A2T6ZKU5_TUBBO	ELMO/CED-12 family-domain-containing protein	B9Z19DRAFT_991836	Tuber borchii (White truffle)	686	DOMAIN 239..419; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2T7PJN0	A0A2T7PJN0_POMCA	Adapter molecule Crk	C0Q70_04861	Pomacea canaliculata (Golden apple snail)	273	DOMAIN 42..132; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 206..267; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U3EIX8	A0A2U3EIX8_PURLI	ELMO domain-containing protein	PCL_07782	Purpureocillium lilacinum (Paecilomyces lilacinus)	1044	DOMAIN 334..515; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3VFG9	A0A2U3VFG9_ODORO	engulfment and cell motility protein 3 isoform X1	ELMO3	Odobenus rosmarus divergens (Pacific walrus)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3VFH0	A0A2U3VFH0_ODORO	engulfment and cell motility protein 3 isoform X2	ELMO3	Odobenus rosmarus divergens (Pacific walrus)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3VFX2	A0A2U3VFX2_ODORO	engulfment and cell motility protein 3 isoform X3	ELMO3	Odobenus rosmarus divergens (Pacific walrus)	652	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3VYG3	A0A2U3VYG3_ODORO	crk-like protein	CRKL	Odobenus rosmarus divergens (Pacific walrus)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U3W7G1	A0A2U3W7G1_ODORO	adapter molecule crk isoform X1	CRK	Odobenus rosmarus divergens (Pacific walrus)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U3W7H4	A0A2U3W7H4_ODORO	adapter molecule crk isoform X2	CRK	Odobenus rosmarus divergens (Pacific walrus)	204	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U3WAE6	A0A2U3WAE6_ODORO	engulfment and cell motility protein 2 isoform X3	ELMO2	Odobenus rosmarus divergens (Pacific walrus)	537	DOMAIN 128..302; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3WAE7	A0A2U3WAE7_ODORO	engulfment and cell motility protein 2 isoform X1	ELMO2	Odobenus rosmarus divergens (Pacific walrus)	732	DOMAIN 323..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3WAF4	A0A2U3WAF4_ODORO	engulfment and cell motility protein 2 isoform X2	ELMO2	Odobenus rosmarus divergens (Pacific walrus)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3WXZ2	A0A2U3WXZ2_ODORO	engulfment and cell motility protein 1 isoform X2	ELMO1	Odobenus rosmarus divergens (Pacific walrus)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3Y7Y5	A0A2U3Y7Y5_LEPWE	engulfment and cell motility protein 2	ELMO2	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)	439	DOMAIN 30..204; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3YCN3	A0A2U3YCN3_LEPWE	adapter molecule crk	CRK	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)	92	DOMAIN 13..92; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"
A0A2U3YCX5	A0A2U3YCX5_LEPWE	engulfment and cell motility protein 3 isoform X2	ELMO3	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3YLV0	A0A2U3YLV0_LEPWE	crk-like protein	CRKL	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U3ZKJ7	A0A2U3ZKJ7_ODORO	engulfment and cell motility protein 2 isoform X4	ELMO2	Odobenus rosmarus divergens (Pacific walrus)	467	DOMAIN 58..232; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U3ZV12	A0A2U3ZV12_ODORO	engulfment and cell motility protein 1 isoform X1	ELMO1	Odobenus rosmarus divergens (Pacific walrus)	742	DOMAIN 334..507; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U4ALB4	A0A2U4ALB4_TURTR	crk-like protein	CRKL	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U4ANF9	A0A2U4ANF9_TURTR	adapter molecule crk isoform X3	CRK	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	271	DOMAIN 99..159; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 202..263; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U4ANI5	A0A2U4ANI5_TURTR	adapter molecule crk isoform X2	CRK	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	204	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U4ANU3	A0A2U4ANU3_TURTR	adapter molecule crk isoform X1	CRK	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U4BDS4	A0A2U4BDS4_TURTR	engulfment and cell motility protein 3 isoform X3	ELMO3	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	350	DOMAIN 1..109; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U4C256	A0A2U4C256_TURTR	engulfment and cell motility protein 2 isoform X2	ELMO2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	632	DOMAIN 223..397; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U4C270	A0A2U4C270_TURTR	engulfment and cell motility protein 2 isoform X3	ELMO2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	537	DOMAIN 128..302; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U4C2A6	A0A2U4C2A6_TURTR	engulfment and cell motility protein 2 isoform X1	ELMO2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	721	DOMAIN 312..486; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U4C2F2	A0A2U4C2F2_TURTR	engulfment and cell motility protein 2 isoform X4	ELMO2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	529	DOMAIN 120..294; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U9B3I3	A0A2U9B3I3_SCOMX	Putative adapter molecule crk-like (V-crk avian sarcoma virus CT10 oncogene homolog)	crk F2P81_016997 SMAX5B_008475	Scophthalmus maximus (Turbot) (Psetta maxima)	315	DOMAIN 13..111; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 246..307; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U9B6X4	A0A2U9B6X4_SCOMX	Putative adapter molecule crk-like	LOC118300500 F2P81_024966 SMAX5B_021490	Scophthalmus maximus (Turbot) (Psetta maxima)	318	DOMAIN 13..111; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 131..191; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 250..311; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U9BG92	A0A2U9BG92_SCOMX	Putative engulfment and cell motility protein 2-like isoform 2	SMAX5B_014026	Scophthalmus maximus (Turbot) (Psetta maxima)	1146	DOMAIN 7..124; /note="Arf-GAP"; /evidence="ECO:0000259|PROSITE:PS50115"; DOMAIN 742..911; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U9BGJ8	A0A2U9BGJ8_SCOMX	Putative engulfment and cell motility protein 2-like	SMAX5B_014026	Scophthalmus maximus (Turbot) (Psetta maxima)	1165	DOMAIN 7..124; /note="Arf-GAP"; /evidence="ECO:0000259|PROSITE:PS50115"; DOMAIN 761..930; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U9BX72	A0A2U9BX72_SCOMX	Engulfment and cell motility 3 (Putative engulfment and cell motility protein 3)	elmo3 SMAX5B_017820	Scophthalmus maximus (Turbot) (Psetta maxima)	715	DOMAIN 307..477; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2U9CF01	A0A2U9CF01_SCOMX	Putative crk-like protein	crkl SMAX5B_015170	Scophthalmus maximus (Turbot) (Psetta maxima)	305	DOMAIN 13..101; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 120..180; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 237..298; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2U9D0B0	A0A2U9D0B0_SCOMX	ELMO domain-containing protein	SMAX5B_015838	Scophthalmus maximus (Turbot) (Psetta maxima)	726	DOMAIN 319..491; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2V1B5Z6	A0A2V1B5Z6_9HELO	ELMO/CED-12 family protein-like protein	DL98DRAFT_522567	Cadophora sp. DSE1049	726	DOMAIN 258..448; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2V1DK52	A0A2V1DK52_9PLEO	ELMO domain-containing protein	DM02DRAFT_615701	Periconia macrospinosa	697	DOMAIN 238..412; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2V5H9U5	A0A2V5H9U5_ASPV1	Regulator of Rac1, required for phagocytosis and cell migration	BO99DRAFT_441699	Aspergillus violaceofuscus (strain CBS 115571)	698	DOMAIN 239..420; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2V5HVC0	A0A2V5HVC0_9EURO	Regulator of Rac1, required for phagocytosis and cell migration	BP00DRAFT_404210	Aspergillus indologenus CBS 114.80	698	DOMAIN 239..420; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2W1F047	A0A2W1F047_9PLEO	ELMO-CED12 domain containing protein (Elmo ced-12 family protein) (MRP-L27 domain-containing protein)	Ptr86124_03931 PtrARCrB10_08624 PtrM4_09514 PtrM4_135010 PtrV1_09830	Pyrenophora tritici-repentis	693	DOMAIN 239..412; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2W1G5I3	A0A2W1G5I3_9PLEO	ELMO-CED12 domain containing protein	A1F97_09611 A1F99_09316	Pyrenophora tritici-repentis	688	DOMAIN 239..412; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2X0LPD1	A0A2X0LPD1_9BASI	BZ3500_MvSof-1268-A1-R1_Chr2-2g05126 protein	BZ3500_MVSOF-1268-A1-R1_CHR2-2G05126	Microbotryum saponariae	764	DOMAIN 330..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2X0N7W5	A0A2X0N7W5_9BASI	BQ5605_C024g09817 protein	BQ5605_C024g09817 BQ5605_C024G09817	Microbotryum silenes-dioicae	830	DOMAIN 396..551; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2Y9DKK8	A0A2Y9DKK8_TRIMA	adapter molecule crk isoform X1	LOC101342748	Trichechus manatus latirostris (Florida manatee)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2Y9DL48	A0A2Y9DL48_TRIMA	adapter molecule crk isoform X2	LOC101342748	Trichechus manatus latirostris (Florida manatee)	204	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2Y9E1U9	A0A2Y9E1U9_TRIMA	engulfment and cell motility protein 1	LOC101340853	Trichechus manatus latirostris (Florida manatee)	719	DOMAIN 311..484; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2Y9E4X1	A0A2Y9E4X1_TRIMA	crk-like protein	LOC101355809	Trichechus manatus latirostris (Florida manatee)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2Y9FL31	A0A2Y9FL31_PHYMC	engulfment and cell motility protein 3 isoform X1	ELMO3	Physeter macrocephalus (Sperm whale) (Physeter catodon)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2Y9GWH3	A0A2Y9GWH3_NEOSC	crk-like protein isoform X1	CRKL	Neomonachus schauinslandi (Hawaiian monk seal) (Monachus schauinslandi)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
